,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,rank,slit_width,slit_length,good,ymax,ymin
10,10,83.61317413254,0.1091,21.99021798095,0.0972,3403817695831235712,0.3194,0.1032,1.122,0.175,-2.177,0.135,0,5401.5,5.7508,16.3571,0.0012,2790.2,18.768,16.7373,0.0073,4247.3,15.755,15.6916,0.004,1.0457,,,5171.0,,,,,TARGET,3,9,1,21.99044298095,21.98999298095
4,4,83.65312338638,0.2185,22.00695237363,0.2083,3403771275824689024,-0.0303,0.2507,1.084,0.327,-1.259,0.271,0,1206.5,2.6558,17.9846,0.0024,978.64,16.942,17.8748,0.0188,1834.9,16.687,16.6029,0.0099,1.272,,,,,,,,FILLER,3,9,1,22.00717737363,22.00672737363
9,9,83.60941968418,0.1824,21.99640246798,0.154,3403817760255436160,0.8162,0.1507,6.833,0.294,-15.25,0.229,0,2024.2,3.129,17.4227,0.0017,1011.2,15.882,17.8393,0.0171,2258.0,26.889,16.3776,0.0129,1.4617,,,,,,,,FILLER,3,9,1,21.99662746798,21.99617746798
15,15,83.62193064314,1.3372,22.00376114938,1.1136,3403818138212573056,,,,,,,0,1099.4,4.0733,18.0854,0.004,1483.5,25.158,17.4232,0.0184,2421.5,38.397,16.3017,0.0172,1.1215,,,,,,,,FILLER,3,9,1,22.00398614938,22.00353614938
16,16,83.61359533038,0.2386,22.00143241218,0.2021,3403818138212571520,0.6424,0.1952,2.063,0.362,-1.19,0.285,0,1418.1,2.8901,17.8091,0.0022,951.88,13.387,17.9049,0.0153,1721.6,13.201,16.6721,0.0083,1.2329,,,,,,,,FILLER,3,9,1,22.001657412180002,22.00120741218
20,20,83.63242847687,0.2756,21.99407866241,0.239,3403818069493082112,2.6602,0.2622,25.082,0.431,-31.771,0.332,0,1587.9,4.0213,17.6863,0.0027,1148.7,25.719,17.7009,0.0243,3086.3,24.803,16.0383,0.0087,1.6626,,,,,,,,FILLER,3,9,1,21.99430366241,21.99385366241
22,22,83.62803277381,0.719,22.00925445825,0.6372,3403818176864468224,-0.0275,0.6141,2.919,1.297,-3.037,1.137,0,529.84,4.8264,18.878,0.0099,,,,,,,,,,,,,,,,,FILLER,3,9,1,22.00947945825,22.009029458249998
29,29,83.63343608354,0.5815,22.01098943544,0.4757,3403818176867564672,-0.3941,0.253,-1.571,0.823,1.058,0.643,0,1373.7,5.5269,17.8436,0.0044,1842.3,65.008,17.188,0.0383,3225.2,281.98,15.9905,0.0949,1.1975,,,,,,,,FILLER,3,9,1,22.01121443544,22.01076443544
42,42,83.65136479117,0.4779,22.02598093911,0.4919,3403818310011273088,0.0603,0.6135,-0.624,0.841,-1.632,0.733,0,507.89,3.2266,18.9239,0.0069,,,,,,,,,,,,,,,,,FILLER,3,9,1,22.02620593911,22.02575593911
44,44,83.64156477314,0.1447,22.03579507952,0.1348,3403818310011271680,-0.3243,0.1702,0.358,0.235,0.242,0.184,0,1767.2,3.5466,17.5701,0.0022,1572.1,28.524,17.3602,0.0197,2672.9,37.704,16.1945,0.0153,1.1657,,,,,,,,FILLER,3,9,1,22.03602007952,22.03557007952
49,49,83.60995520733,1.0857,22.02017454123,0.8844,3403818344371001344,,,,,,,0,1176.3,3.2819,18.012,0.003,777.88,19.496,18.1241,0.0272,2367.6,12.583,16.3261,0.0058,1.798,,,,,,,,FILLER,3,9,1,22.02039954123,22.019949541229998
51,51,83.61836417123,1.3397,22.01768409869,1.0801,3403818383025996544,,,,,,,0,971.77,4.6087,18.2195,0.0051,1748.1,35.247,17.245,0.0219,2603.9,44.551,16.2229,0.0186,1.0221,,,,,,,,FILLER,3,9,1,22.01790909869,22.01745909869
55,55,83.62013272432,0.9288,22.02408896485,0.8104,3403818378730741120,,,,,,,0,519.66,4.1255,18.8991,0.0086,,,,,,,,,,,,,,,,,FILLER,3,9,1,22.024313964850002,22.02386396485
56,56,83.60314121412,1.5724,22.0079401675,1.2767,3403818344370999936,,,,,,,0,574.1,2.221,18.7909,0.0042,425.97,15.379,18.778,0.0392,976.17,8.4398,17.2881,0.0094,1.4898,,,,,,,,FILLER,3,9,1,22.0081651675,22.0077151675
65,65,83.62102840267,0.2545,22.03102584961,0.2335,3403818486105207552,-0.2426,0.2624,2.987,0.387,-2.518,0.315,0,1101.0,4.3837,18.0839,0.0043,,,,,,,,,,,,,,,,,FILLER,3,9,1,22.03125084961,22.03080084961
67,67,83.62386421909,0.4647,22.03853044608,0.4082,3403818481809956992,-0.1221,0.4883,0.14,0.767,-2.13,0.593,0,685.14,3.5229,18.5989,0.0056,,,,,,,,,,,,,,,,,FILLER,3,9,1,22.03875544608,22.03830544608
