,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
81,3.4038176958312356e+18,83.61317742864554,21.99021263203286,16.349852
76,3.4038182412917975e+18,83.65665759896356,22.022825185765317,16.850872
72,3.403818520464941e+18,83.63468138106307,22.040042925025077,17.69015
98,3.403771168450212e+18,83.65250046024136,21.98792963952384,18.301746
87,3.403818241291797e+18,83.65605982747759,22.029701729067753,18.949123
89,3.40381855482158e+18,83.61400046039876,22.041132205716035,19.576447
83,3.403771172743785e+18,83.64789549391068,21.992213922890542,20.256245
