,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
25,3.4038183486662605e+18,83.61297593450495,22.01323227218182,13.972327
54,3.403818314306511e+18,83.64307296320965,22.03370196499751,13.981625
91,3.40381845174547e+18,83.6090465925701,22.039225133683114,14.7005825
36,3.4038182112273004e+18,83.64845004620945,22.010314846924953,15.098968
82,3.403818520464939e+18,83.63935827756136,22.04160701128925,15.154215
5,3.4038181768675635e+18,83.63411346947524,22.015521120008618,15.615919
33,3.4038184861052063e+18,83.62426610783324,22.032175028198797,15.861084
28,3.4038183830259937e+18,83.61837051559644,22.02743407217936,15.941651
38,3.403818108148091e+18,83.6374282054111,21.997594484487035,15.98465
13,3.403818275651533e+18,83.63926673812193,22.01621371600528,16.249004
0,3.4038181725723146e+18,83.633029747749,22.014502838034776,16.530077
52,3.4038184861052047e+18,83.63043434301206,22.037444912607317,16.839888
29,3.403818378730741e+18,83.6210399172347,22.030432579547565,16.840042
19,3.403818138212572e+18,83.61764121306035,22.00853798948749,16.841722
57,3.4037711727454797e+18,83.6424996094518,21.994970867141287,16.87815
7,3.403818172572315e+18,83.63379386784499,22.011497689886415,16.94664
84,3.403818314306508e+18,83.65038909878963,22.03527995640456,16.996122
43,3.403818108148089e+18,83.64296415797371,21.999349683278993,17.014786
85,3.4037711727423836e+18,83.64450904282396,21.989930594542685,17.130291
10,3.4038182756515297e+18,83.63284553088086,22.02115204998355,17.147718
97,3.403771172745477e+18,83.65621939515226,21.992168949286413,17.289307
70,3.4038177602554363e+18,83.60943752820528,21.9963643541494,17.424494
50,3.403818211227299e+18,83.65302747007154,22.013036556613386,17.531
62,3.4038183100112717e+18,83.6415669848535,22.03579555187061,17.654867
46,3.403818069493082e+18,83.6324969738269,21.99399840791897,17.781582
39,3.4038181382125716e+18,83.61360126451521,22.00142896443164,17.833368
51,3.403818486102099e+18,83.63036301436297,22.037289556227893,17.856657
8,3.4038181768675645e+18,83.63343787880652,22.010988344261055,18.004341
61,3.403771275824689e+18,83.65312722808262,22.006948768322417,18.03029
37,3.403818103852842e+18,83.64542235147523,22.00386666738051,18.058128
35,3.4038183443710013e+18,83.60990716137927,22.020119329183157,18.08345
18,3.4038181382125716e+18,83.61650166468306,22.01154752715856,18.146473
21,3.403818138212573e+18,83.62193537299876,22.00375862327466,18.253227
32,3.403818486105208e+18,83.6210371074893,22.03101930871067,18.27116
92,3.4038184517454715e+18,83.60532514154653,22.037187361438708,18.339943
9,3.4038181725723116e+18,83.62389168809163,22.0087891517969,18.348902
30,3.403818138212571e+18,83.61130474593011,22.00840519797552,18.458878
14,3.403818383025997e+18,83.61836754913493,22.01768053775355,18.460255
1,3.4038181725723146e+18,83.63296531848698,22.01287104923088,18.522224
71,3.4038183443709983e+18,83.60194676239277,22.007841625884456,18.72441
41,3.403818211224195e+18,83.65002092462687,22.01330412635244,18.762142
27,3.403818108144985e+18,83.6441467587859,22.00824602112653,18.77007
65,3.403818344371e+18,83.603147983639,22.007929693434704,18.826931
63,3.403818481809957e+18,83.62386669677338,22.038523661793477,18.940784
45,3.40381814250474e+18,83.61434011664096,21.99898340373572,18.988337
60,3.403818310011273e+18,83.65136516563543,22.025979094155023,19.137882
48,3.4038181425047404e+18,83.61200504018942,22.000201407591817,19.263113
6,3.403818176864468e+18,83.62804206862798,22.009245403914658,19.332144
23,3.4038182756515297e+18,83.63322582699499,22.02747423517109,19.475725
20,3.403818378730741e+18,83.62013171957075,22.024071968110057,19.515593
49,3.4037711684502113e+18,83.64319629199775,21.997554973686466,19.5338
68,3.4038177645476193e+18,83.6066338925696,22.000421592072676,19.539309
56,3.403818348663166e+18,83.6038746334997,22.019014756463864,19.560158
58,3.4037711727423744e+18,83.65065676026117,22.00285738858578,19.580698
22,3.4038182069320566e+18,83.64234357933749,22.016561195625247,19.669111
67,3.4037711727423826e+18,83.64370192133471,21.993926803950984,19.699255
4,3.403818176864467e+18,83.62358118365825,22.013951358935643,19.844278
26,3.4038181081449846e+18,83.64395279524047,22.00910429891042,19.898008
66,3.4038183143034015e+18,83.65093531095884,22.028406261956363,20.058262
53,3.403818348663168e+18,83.60417863532537,22.012383170470187,20.203697
77,3.403817764549029e+18,83.6050984568579,21.99864744444026,20.244457
55,3.403818554822971e+18,83.61678025124169,22.035277939387544,20.281647
64,3.403818073786665e+18,83.63522275988689,21.991058775023014,20.29163
74,3.40381776454903e+18,83.60637505867565,21.997401628679896,20.39705
