,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
829,5.260177568498444e+18,150.21493500948742,-54.783175861193016,15.980848
773,5.260177564176253e+18,150.2137647360623,-54.78467876103447,16.885313
778,5.260177839054217e+18,150.17477244516957,-54.764237981376375,17.19482
751,5.260177735975e+18,150.16443516205712,-54.764850867340115,17.225231
1021,5.26017667082296e+18,150.21031575817636,-54.81490321420419,17.242352
879,5.260177839054219e+18,150.18344003296497,-54.763109912531654,17.381258
987,5.26017760285819e+18,150.2110226290375,-54.76847045019828,17.700003
1041,5.26017766725553e+18,150.21380505764415,-54.76268391585427,17.914755
745,5.260177843367149e+18,150.17424422107933,-54.76489298592676,17.955479
970,5.260177289302739e+18,150.12699169390132,-54.809083041013224,19.314564
881,5.26017670949572e+18,150.21018572725592,-54.80572364150836,20.044743
918,5.260177293612374e+18,150.12900366654424,-54.80752997556299,20.17785
962,5.260177667259955e+18,150.1972510301114,-54.763222829141434,20.31447
1038,5.260176675139312e+18,150.2133273717293,-54.816027336046076,20.42743
941,5.260177774651502e+18,150.1326855209451,-54.76871665828374,20.50848
1022,5.260177293614483e+18,150.1254208305903,-54.812399135204736,20.541819
1039,5.260177774651498e+18,150.12863563080973,-54.76267010785449,20.60604
