,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,mask
137,20,150.1454022,0.0753,-54.81433871,0.0717,5.26018e+18,0.2623,0.0885,-5.245,0.154,3.59,0.138,1,2984.5,2.643,17.0012,0.001,1305.2,12.162,17.5622,0.0101,2612.1,10.547,16.2195,0.0044,1.3428,,,4707.0,,,,,IN,2,2
345,45,150.1706787,0.18,-54.81374942,0.162,5.26018e+18,0.3411,0.2061,-9.12,0.35,-0.407,0.297,0,602.79,1.1067,18.7379,0.002,231.98,29.287,19.4378,0.1371,573.33,7.4742,17.8659,0.0142,1.5719,,,,,,,,IN,5,2
206,57,150.1620889,0.1009,-54.8124282,0.0935,5.26018e+18,0.2303,0.12,-5.186,0.204,3.262,0.177,0,1479.4,1.5822,17.7631,0.0012,594.79,8.1796,18.4155,0.0149,1435.9,9.244,16.8691,0.007,1.5464,,,,,,,,IN,3,2
204,78,150.1356594,0.0872,-54.81104187,0.0796,5.26018e+18,0.2128,0.1006,-4.009,0.175,2.262,0.151,0,1922.3,1.9136,17.4788,0.0011,879.23,8.0622,17.9911,0.01,1597.8,8.7634,16.7531,0.006,1.238,,,,,,,,IN,3,2
203,58,150.1720404,0.0905,-54.81027186,0.0886,5.26018e+18,0.1935,0.1081,-4.145,0.18,2.556,0.159,0,1692.9,1.8023,17.6168,0.0012,778.15,9.7446,18.1237,0.0136,1459.8,10.326,16.8512,0.0077,1.2725,,,,,,,,IN,3,2
131,46,150.1655206,0.0738,-54.80829272,0.0679,5.26018e+18,0.2785,0.0837,-4.151,0.146,4.336,0.127,0,2499.5,2.1246,17.1938,0.0009,717.42,9.1295,18.2119,0.0138,2773.4,14.495,16.1544,0.0057,2.0576,,,,,,,,IN,2,2
270,140,150.1928759,0.1537,-54.80582239,0.1358,5.26018e+18,0.6585,0.1792,-4.216,0.297,3.574,0.25,0,734.36,1.1334,18.5236,0.0017,269.35,10.447,19.2756,0.0421,730.76,6.8973,17.6025,0.0102,1.6731,,,,,,,,IN,4,2
268,27,150.1658572,0.152,-54.80520704,0.1279,5.26018e+18,0.099,0.1624,-4.445,0.3,4.15,0.241,0,882.43,1.2219,18.3242,0.0015,338.86,8.3599,19.0264,0.0268,872.23,9.5812,17.4103,0.0119,1.616,,,,,,,,IN,4,2
198,15,150.2119543,0.0884,-54.80470073,0.082,5.26018e+18,0.2866,0.1033,-4.013,0.183,2.719,0.154,0,1461.2,1.5461,17.7766,0.0011,628.77,7.1578,18.3552,0.0124,1291.3,7.8911,16.9844,0.0066,1.3708,,,,,,,,IN,3,2
196,134,150.1425845,0.1069,-54.80383024,0.1011,5.26018e+18,0.1609,0.1267,-4.696,0.214,3.261,0.186,0,1273.2,1.5898,17.9261,0.0014,556.81,7.1429,18.4871,0.0139,1179.1,10.191,17.083,0.0094,1.4041,,,,,,,,IN,3,2
