,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,mask
137,20,150.1454022,0.0753,-54.81433871,0.0717,5.26018e+18,0.2623,0.0885,-5.245,0.154,3.59,0.138,1,2984.5,2.643,17.0012,0.001,1305.2,12.162,17.5622,0.0101,2612.1,10.547,16.2195,0.0044,1.3428,,,4707.0,,,,,IN,2,2
206,57,150.1620889,0.1009,-54.8124282,0.0935,5.26018e+18,0.2303,0.12,-5.186,0.204,3.262,0.177,0,1479.4,1.5822,17.7631,0.0012,594.79,8.1796,18.4155,0.0149,1435.9,9.244,16.8691,0.007,1.5464,,,,,,,,IN,3,2
203,58,150.1720404,0.0905,-54.81027186,0.0886,5.26018e+18,0.1935,0.1081,-4.145,0.18,2.556,0.159,0,1692.9,1.8023,17.6168,0.0012,778.15,9.7446,18.1237,0.0136,1459.8,10.326,16.8512,0.0077,1.2725,,,,,,,,IN,3,2
270,140,150.1928759,0.1537,-54.80582239,0.1358,5.26018e+18,0.6585,0.1792,-4.216,0.297,3.574,0.25,0,734.36,1.1334,18.5236,0.0017,269.35,10.447,19.2756,0.0421,730.76,6.8973,17.6025,0.0102,1.6731,,,,,,,,IN,4,2
198,15,150.2119543,0.0884,-54.80470073,0.082,5.26018e+18,0.2866,0.1033,-4.013,0.183,2.719,0.154,0,1461.2,1.5461,17.7766,0.0011,628.77,7.1578,18.3552,0.0124,1291.3,7.8911,16.9844,0.0066,1.3708,,,,,,,,IN,3,2
195,50,150.164496,0.1338,-54.80291255,0.1256,5.26018e+18,0.2585,0.1564,-3.649,0.272,3.324,0.238,0,1589.4,1.9081,17.6853,0.0013,745.88,16.045,18.1697,0.0234,1517.0,11.024,16.8095,0.0079,1.3603,,,,,,,,IN,3,2
262,159,150.1680151,0.1921,-54.80104616,0.1815,5.26018e+18,0.9412,0.2338,-3.91,0.373,-0.132,0.332,0,727.34,1.3798,18.534,0.0021,365.15,11.316,18.9452,0.0336,1102.8,21.847,17.1557,0.0215,1.7895,,,,,,,,IN,4,2
123,153,150.1636844,0.0816,-54.79940931,0.0801,5.26018e+18,0.2548,0.0941,-4.089,0.167,2.578,0.159,0,1980.6,1.9427,17.4464,0.0011,982.79,13.025,17.8702,0.0144,1853.9,31.218,16.5917,0.0183,1.2786,,,,,,,,IN,2,2
333,155,150.2085885,0.2093,-54.7977366,0.1859,5.26018e+18,0.4741,0.2427,-6.546,0.398,2.421,0.329,0,511.16,1.1214,18.917,0.0024,206.06,6.6576,19.5664,0.0351,516.7,8.0534,17.9788,0.0169,1.5876,,,,,,,,IN,5,2
260,162,150.1907168,0.1303,-54.79614726,0.1221,5.26018e+18,-0.0464,0.1526,-4.633,0.266,2.775,0.232,0,831.33,1.1827,18.3889,0.0015,349.86,5.9251,18.9917,0.0184,800.39,7.9799,17.5037,0.0108,1.488,,,,,,,,IN,4,2
184,83,150.1510528,0.1312,-54.79432482,0.1218,5.26018e+18,0.6028,0.1459,-4.237,0.265,3.153,0.24,0,1339.4,2.4562,17.8711,0.002,622.72,9.4104,18.3657,0.0164,1511.8,18.757,16.8132,0.0135,1.5525,,,,,,,,IN,3,2
182,200,150.1761299,0.093,-54.79285806,0.0959,5.26018e+18,0.0587,0.115,-4.694,0.194,2.735,0.176,0,1650.6,2.1327,17.6443,0.0014,,,,,,,,,,,,,,,,,IN,3,2
323,102,150.138798,0.2181,-54.79180007,0.2134,5.26018e+18,-0.9587,0.2561,-4.413,0.432,2.417,0.382,0,553.76,1.2879,18.8301,0.0025,262.95,9.5058,19.3017,0.0392,553.85,9.636,17.9034,0.0189,1.3983,,,,,,,,IN,5,2
107,149,150.165076,0.0437,-54.79034649,0.0431,5.26018e+18,0.1739,0.0528,-4.156,0.089,2.683,0.079,0,5389.6,3.1766,16.3595,0.0006,2543.3,14.434,16.8379,0.0062,4576.3,11.792,15.6106,0.0028,1.2273,,,4835.01,,,,,IN,2,2
62,394,150.1494465,0.0342,-54.78845295,0.0319,5.26018e+18,0.3361,0.0389,-8.16,0.069,3.733,0.06,0,8889.8,4.9007,15.8161,0.0006,4381.7,10.667,16.2473,0.0026,6675.4,14.287,15.2007,0.0023,1.0465,,,5172.27,,,2.27,3.319,IN,1,2
167,223,150.1835005,0.209,-54.78654296,0.1862,5.26018e+18,1.1561,0.2379,-4.228,0.413,3.504,0.349,0,1182.0,2.7586,18.0069,0.0025,,,,,,,,,,,,,,,,,IN,3,2
162,439,150.1668438,0.1117,-54.78534258,0.1063,5.26018e+18,0.3439,0.1318,-6.108,0.24,2.895,0.214,0,1068.8,1.3255,18.1161,0.0013,407.36,7.4917,18.8265,0.02,1111.2,10.384,17.1474,0.0101,1.679,,,,,,,,IN,3,2
161,191,150.1909399,0.1346,-54.7838533,0.133,5.26018e+18,0.6116,0.1601,-2.745,0.293,3.92,0.271,0,1160.6,2.3936,18.0267,0.0022,601.04,19.568,18.4041,0.0353,1388.5,22.976,16.9055,0.018,1.4986,,,,,,,,IN,3,2
238,252,150.1774701,0.206,-54.78272944,0.1786,5.26018e+18,0.0015,0.2148,-4.854,0.535,2.754,0.361,0,842.98,1.7413,18.3738,0.0022,,,,,,,,,,,,,,,,,IN,4,2
84,387,150.1428122,0.2749,-54.7811521,0.281,5.26018e+18,-0.6309,0.3285,-3.06,0.627,3.907,0.567,0,3143.5,7.5611,16.9448,0.0026,1389.2,9.0576,17.4945,0.0071,2912.0,12.149,16.1014,0.0045,1.393,,,4777.33,,,,,IN,2,2
156,405,150.1554658,0.1092,-54.77929612,0.1054,5.26018e+18,0.0018,0.1277,-6.366,0.224,5.055,0.193,0,1154.3,1.6096,18.0325,0.0015,436.93,9.3032,18.7504,0.0231,1128.5,9.3365,17.1307,0.009,1.6197,,,,,,,,IN,3,2
297,151,150.1803361,0.1828,-54.77773054,0.1769,5.26018e+18,0.2713,0.2138,-4.629,0.385,3.041,0.349,0,539.05,1.2151,18.8593,0.0024,257.4,7.7809,19.3249,0.0328,541.96,11.262,17.927,0.0226,1.3979,,,,,,,,IN,5,2
