,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,Unnamed: 36,Unnamed: 37,Unnamed: 38,mask
169,255,150.1921793,0.1095,-54.78678921,0.1063,5.26018e+18,0.1383,0.1314,-4.48,0.23,2.635,0.202,0,1056.5,1.4884,18.1287,0.0015,457.1,7.5574,18.7014,0.018,1001.0,9.785,17.2608,0.0106,1.4405,,,,,,,,IN,3,,,,4
243,146,150.175398,0.1613,-54.78622534,0.1631,5.26018e+18,0.3128,0.1988,-2.148,0.335,4.039,0.31,0,754.07,1.4361,18.4948,0.0021,351.12,9.4136,18.9877,0.0291,884.8,13.151,17.3948,0.0161,1.5929,,,,,,,,IN,4,,,,4
164,177,150.177978,0.2537,-54.78566585,0.2607,5.26018e+18,0.595,0.3139,2.405,0.555,7.751,0.515,0,1191.6,5.1404,17.9981,0.0047,685.56,10.051,18.2613,0.0159,1469.9,13.399,16.8437,0.0099,1.4176,,,,,,,,IN,3,,,,4
310,377,150.1602715,0.2174,-54.78491571,0.2087,5.26018e+18,0.0346,0.2709,-3.578,0.427,3.196,0.366,0,486.59,1.2172,18.9705,0.0027,259.52,7.3011,19.316,0.0305,537.63,9.982,17.9357,0.0202,1.3802,,,,,,,,IN,5,,,,4
308,360,150.1487409,0.2159,-54.78438955,0.203,5.26018e+18,0.4322,0.258,-4.487,0.434,3.526,0.383,0,490.37,1.0557,18.9621,0.0023,214.32,9.8644,19.5237,0.05,584.28,10.481,17.8454,0.0195,1.6783,,,,,,,,IN,5,,,,4
239,368,150.1518832,0.1337,-54.78381464,0.1309,5.26018e+18,0.1999,0.1617,-3.778,0.278,2.636,0.264,0,766.3,1.2507,18.4774,0.0018,356.14,10.771,18.9723,0.0328,760.91,12.017,17.5586,0.0171,1.4137,,,,,,,,IN,4,,,,4
160,251,150.1779751,0.0896,-54.78321453,0.0856,5.26018e+18,0.1695,0.1033,-5.689,0.184,5.469,0.165,0,1525.7,1.5718,17.7297,0.0011,643.72,21.149,18.3296,0.0357,1648.6,21.135,16.7192,0.0139,1.6105,,,,,,,,IN,3,,,,4
235,415,150.1620475,0.1426,-54.78225639,0.1377,5.26018e+18,0.1575,0.166,-3.527,0.285,3.113,0.256,0,825.25,1.3771,18.3969,0.0018,380.9,9.9671,18.8993,0.0284,749.28,8.1957,17.5753,0.0119,1.324,,,,,,,,IN,4,,,,4
159,262,150.1822459,0.0907,-54.78173341,0.0853,5.26018e+18,0.471,0.1068,-1.908,0.189,-0.808,0.164,0,1568.2,1.645,17.6998,0.0011,661.47,20.696,18.3001,0.034,1650.3,24.289,16.718,0.016,1.5821,,,,,,,,IN,3,,,,4
158,139,150.1744524,0.1173,-54.78105231,0.1061,5.26018e+18,0.1265,0.1353,-3.59,0.274,2.677,0.214,0,1644.5,2.075,17.6483,0.0014,937.5,9.5176,17.9215,0.011,1817.5,15.55,16.6132,0.0093,1.3082,,,,,,,,IN,3,,,,4
301,355,150.1325803,0.1638,-54.77889767,0.1731,5.26018e+18,0.2854,0.203,-10.795,0.342,3.561,0.326,0,641.68,1.3219,18.6701,0.0022,275.55,10.831,19.2509,0.0427,614.95,8.775,17.7898,0.0155,1.4611,,,,,,,,IN,5,,,,4
225,296,150.2062233,0.1532,-54.77829068,0.1527,5.26018e+18,0.192,0.1713,-3.341,0.31,1.387,0.299,0,910.53,1.3964,18.2901,0.0017,154.46,7.5959,19.8793,0.0534,1282.9,8.6654,16.9914,0.0073,2.8879,,,,,,,,IN,4,,,,4
296,259,150.1759623,0.198,-54.7776723,0.1856,5.26018e+18,0.5037,0.2329,-3.733,0.419,2.269,0.363,0,553.06,1.3764,18.8314,0.0027,304.68,15.587,19.1418,0.0555,681.82,27.243,17.6777,0.0434,1.464,,,,,,,,IN,5,,,,4
153,362,150.134698,0.1004,-54.77681352,0.1042,5.26018e+18,0.1742,0.1249,-4.293,0.209,2.609,0.187,0,1263.3,1.8873,17.9346,0.0016,577.45,10.58,18.4476,0.0199,1224.6,14.78,17.0419,0.0131,1.4057,,,,,,,,IN,3,,,,4
149,323,150.1851933,0.1063,-54.77580271,0.1089,5.26018e+18,1.5115,0.1229,-19.761,0.241,6.881,0.232,0,1492.3,2.2227,17.7538,0.0016,532.03,12.916,18.5365,0.0264,1759.0,22.783,16.6487,0.0141,1.8878,,,,,,,,IN,3,,,,4
145,435,150.1704057,0.1087,-54.77345881,0.103,5.26018e+18,0.4462,0.125,-5.066,0.221,4.284,0.198,0,1174.4,1.3305,18.0139,0.0012,455.81,10.189,18.7044,0.0243,1240.3,11.109,17.0281,0.0097,1.6763,,,,,,,,IN,3,,,,4
221,432,150.1634868,0.1649,-54.77278618,0.1632,5.26018e+18,0.4092,0.201,-2.594,0.356,2.083,0.322,0,697.8,1.2681,18.579,0.002,193.46,5.5514,19.6349,0.0312,860.4,8.9943,17.4252,0.0113,2.2097,,,,,,,,IN,4,,,,4
143,401,150.145026,0.0983,-54.77189795,0.098,5.26018e+18,0.227,0.1194,-4.592,0.205,2.398,0.192,0,1327.6,1.5907,17.8807,0.0013,789.74,24.741,18.1077,0.034,1474.8,37.579,16.8401,0.0277,1.2676,,,,,,,,IN,3,,,,4
288,332,150.1654738,0.195,-54.77088925,0.1797,5.26018e+18,0.1673,0.2357,-4.245,0.393,2.715,0.346,0,512.72,1.2148,18.9137,0.0026,206.31,6.4179,19.5651,0.0338,501.68,8.8085,18.0109,0.0191,1.5542,,,,,,,,IN,5,,,,4
