,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,Unnamed: 36,Unnamed: 37,Unnamed: 38,mask
97,222,150.184982,0.2808,-54.78732777,0.2493,5.26018e+18,0.14,0.1918,-5.314,0.693,1.914,0.558,0,2970.0,11.047,17.0065,0.004,,,,,,,,,,,,,,,,,IN,2,,,,3
166,225,150.1772183,0.1114,-54.78639915,0.114,5.26018e+18,0.2789,0.1324,-3.863,0.236,3.22,0.228,0,1133.8,1.4496,18.052,0.0014,507.45,10.091,18.5879,0.0216,1055.3,12.015,17.2035,0.0124,1.3844,,,,,,,,IN,3,,,,3
163,330,150.1428424,0.1223,-54.78560896,0.1185,5.26018e+18,-0.0615,0.146,-4.093,0.256,2.345,0.227,0,1166.9,2.0582,18.0208,0.0019,411.4,16.421,18.8157,0.0433,1712.2,24.597,16.6781,0.0156,2.1377,,,,,,,,IN,3,,,,3
241,336,150.1659535,0.1541,-54.78469804,0.1356,5.26018e+18,0.0736,0.179,-3.488,0.303,1.166,0.267,0,853.64,1.3947,18.3602,0.0018,408.43,10.519,18.8236,0.028,999.25,10.485,17.2627,0.0114,1.5609,,,,,,,,IN,4,,,,3
91,220,150.1761633,0.1449,-54.78351495,0.1447,5.26018e+18,-0.6717,0.1741,-3.457,0.316,3.335,0.286,0,2613.2,3.1697,17.1454,0.0013,672.54,6.4814,18.2821,0.0105,3256.6,9.103,15.98,0.003,2.3021,,,,,,,,IN,2,,,,3
87,380,150.1445759,0.1093,-54.78207238,0.1158,5.26018e+18,-0.038,0.1268,-2.784,0.231,1.472,0.234,0,2144.9,3.127,17.3598,0.0016,1010.6,10.358,17.84,0.0111,1977.3,10.681,16.5217,0.0059,1.3182,,,,,,,,IN,2,,,,3
157,339,150.1484674,0.1143,-54.7810232,0.1127,5.26018e+18,0.1896,0.1351,-3.434,0.235,3.02,0.229,0,1534.2,2.2532,17.7236,0.0016,591.14,7.8504,18.4222,0.0144,1664.4,10.987,16.7087,0.0072,1.7134,,,,,,,,IN,3,,,,3
303,337,150.1686294,0.1985,-54.77903723,0.1986,5.26018e+18,-0.0108,0.2368,-2.73,0.419,2.986,0.387,0,577.5,1.2445,18.7845,0.0023,210.98,12.888,19.5408,0.0663,820.21,12.695,17.4771,0.0168,2.0637,,,,,,,,IN,5,,,,3
155,350,150.1351681,0.0839,-54.77853209,0.0851,5.26018e+18,-0.0383,0.0999,-5.987,0.174,3.836,0.164,0,1861.5,2.049,17.5137,0.0012,767.98,20.517,18.138,0.029,2152.1,31.911,16.4298,0.0161,1.7082,,,,,,,,IN,3,,,,3
298,365,150.1587532,0.1968,-54.77774044,0.2203,5.26018e+18,0.1836,0.2431,-4.276,0.389,3.06,0.397,0,540.7,1.2805,18.856,0.0026,255.21,8.3603,19.3341,0.0356,535.11,7.8714,17.9408,0.016,1.3933,,,,,,,,IN,5,,,,3
58,302,150.1912827,0.0557,-54.77718053,0.0557,5.26018e+18,0.0148,0.064,-4.842,0.118,3.6,0.104,0,16153.0,8.7275,15.1677,0.0006,2066.1,12.272,17.0635,0.0064,23464.0,63.106,13.8359,0.0029,3.2276,,,4035.29,,,,,IN,1,,,,3
152,425,150.1592189,0.0851,-54.77635864,0.0844,5.26018e+18,0.1361,0.1019,-4.618,0.176,2.85,0.16,0,1538.3,1.7849,17.7208,0.0013,659.23,10.346,18.3038,0.017,1358.8,8.9895,16.9291,0.0072,1.3747,,,,,,,,IN,3,,,,3
148,366,150.1492071,0.1145,-54.77572227,0.1133,5.26018e+18,0.304,0.1382,-4.298,0.246,2.448,0.247,0,1060.4,1.4783,18.1247,0.0015,504.03,7.1251,18.5952,0.0153,947.38,7.6058,17.3206,0.0087,1.2746,,,,,,,,IN,3,,,,3
77,324,150.1867209,0.0825,-54.77452313,0.0763,5.26018e+18,0.094,0.0951,-3.908,0.167,2.86,0.148,0,1963.9,1.9671,17.4556,0.0011,853.95,10.589,18.0228,0.0135,1722.6,10.535,16.6715,0.0066,1.3514,,,,,,,,IN,2,,,,3
144,437,150.1749587,0.1686,-54.77322825,0.141,5.26018e+18,-0.1865,0.1817,-4.514,0.34,2.403,0.249,0,1189.6,1.8904,17.9998,0.0017,541.8,12.271,18.5168,0.0246,1394.4,27.204,16.9009,0.0212,1.6159,,,,,,,,IN,3,,,,3
220,389,150.1391798,0.1447,-54.77244477,0.1441,5.26018e+18,0.3099,0.1741,-7.273,0.301,4.124,0.272,0,696.85,1.1905,18.5805,0.0019,238.32,7.9661,19.4085,0.0363,730.46,7.9368,17.6029,0.0118,1.8056,,,,,,,,IN,4,,,,3
142,400,150.1509087,0.2338,-54.77183597,0.2678,5.26018e+18,-0.5565,0.3077,-3.285,0.524,3.148,0.497,0,1451.3,2.2247,17.784,0.0017,598.36,7.5245,18.409,0.0137,1426.5,9.038,16.8763,0.0069,1.5327,,,,,,,,IN,3,,,,3
216,420,150.1635102,0.1994,-54.77133643,0.1937,5.26018e+18,-0.0189,0.2379,-5.299,0.423,3.258,0.38,0,934.79,1.8618,18.2616,0.0022,289.21,6.3918,19.1984,0.024,1182.7,8.9588,17.0797,0.0082,2.1186,,,,,,,,IN,4,,,,3
287,390,150.1363855,0.2074,-54.77049555,0.1963,5.26018e+18,0.3457,0.2498,-4.144,0.42,2.036,0.361,0,474.68,1.1771,18.9974,0.0027,,,,,,,,,,,,,,,,,IN,5,,,,3
286,291,150.2098293,0.1704,-54.76995014,0.1657,5.26018e+18,0.5166,0.2033,9.083,0.35,-0.763,0.315,0,551.24,1.1161,18.835,0.0022,213.69,8.0276,19.5269,0.0408,562.42,8.3488,17.8868,0.0161,1.6401,,,,,,,,IN,5,,,,3
279,423,150.1482639,0.1852,-54.76576972,0.2125,5.26018e+18,0.1246,0.2351,-6.686,0.415,3.516,0.388,0,575.82,3.3792,18.7876,0.0064,,,,,,,,,,,,,,,,,IN,5,,,,3
