,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
829,5.260177568498444e+18,150.21493527984896,-54.78317595118474,15.980848
773,5.260177564176253e+18,150.21376481521418,-54.784678788531345,16.885313
778,5.260177839054217e+18,150.17477253749848,-54.7642380548618,17.19482
751,5.260177735975e+18,150.1644352792543,-54.76485090531083,17.225231
1021,5.26017667082296e+18,150.21031586159128,-54.81490325462567,17.242352
879,5.260177839054219e+18,150.18344010574637,-54.76310993843655,17.381258
987,5.26017760285819e+18,150.21102273328694,-54.76847049050397,17.700003
1041,5.26017766725553e+18,150.21380517231066,-54.76268392645282,17.914755
745,5.260177843367149e+18,150.17424429656475,-54.7648930109384,17.955479
970,5.260177289302739e+18,150.12699179583902,-54.809083103856025,19.314564
881,5.26017670949572e+18,150.21018576736788,-54.80572367176723,20.044743
918,5.260177293612374e+18,150.12900371425408,-54.807530005769,20.17785
962,5.260177667259955e+18,150.19725110997018,-54.7632228587875,20.31447
1038,5.260176675139312e+18,150.2133274602441,-54.816027352892114,20.42743
941,5.260177774651502e+18,150.13268558044274,-54.768716677227914,20.50848
1022,5.260177293614483e+18,150.12542090482316,-54.81239916569551,20.541819
1039,5.260177774651498e+18,150.1286357220652,-54.76267017182124,20.60604
